match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
19,2008,Bangalore,2008-03-20,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,normal,Lucknow Super Giants,57,0,Player_65,"PCA Stadium, Chandigarh",Umpire_14,Umpire_16
20,2008,Lucknow,2008-04-22,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,normal,Delhi Capitals,22,0,Player_49,"M. Chinnaswamy Stadium, Bangalore",Umpire_10,Umpire_6
21,2008,Hyderabad,2008-03-18,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Chennai Super Kings,0,3,Player_124,"Ekana Cricket Stadium, Lucknow",Umpire_19,Umpire_17
22,2008,Chennai,2008-04-22,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,normal,Lucknow Super Giants,0,1,Player_48,"Narendra Modi Stadium, Ahmedabad",Umpire_8,Umpire_13
23,2008,Mumbai,2008-04-14,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,normal,Chennai Super Kings,0,5,Player_190,"M. Chinnaswamy Stadium, Bangalore",Umpire_5,Umpire_12
24,2008,Lucknow,2008-03-24,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,Rajasthan Royals,0,3,Player_69,"M. Chinnaswamy Stadium, Bangalore",Umpire_16,Umpire_24
25,2008,Kolkata,2008-03-01,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,Punjab Kings,12,0,Player_168,"Ekana Cricket Stadium, Lucknow",Umpire_11,Umpire_12
26,2008,Lucknow,2008-03-18,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,normal,Delhi Capitals,0,4,Player_75,"PCA Stadium, Chandigarh",Umpire_4,Umpire_25
27,2008,Hyderabad,2008-04-05,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,24,0,Player_12,"Wankhede Stadium, Mumbai",Umpire_23,Umpire_13
28,2008,Ahmedabad,2008-05-12,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,normal,Kolkata Knight Riders,0,4,Player_9,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_28,Umpire_14
29,2008,Delhi,2008-04-26,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,Punjab Kings,39,0,Player_167,"Ekana Cricket Stadium, Lucknow",Umpire_5,Umpire_3
30,2008,Lucknow,2008-04-05,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,0,2,Player_29,"Feroz Shah Kotla, Delhi",Umpire_6,Umpire_19
31,2008,Lucknow,2008-05-07,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,74,0,Player_126,"Eden Gardens, Kolkata",Umpire_13,Umpire_13
32,2008,Jaipur,2008-03-06,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,normal,Punjab Kings,0,1,Player_58,"Feroz Shah Kotla, Delhi",Umpire_16,Umpire_22
33,2008,Jaipur,2008-05-16,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,normal,Rajasthan Royals,54,0,Player_185,"Ekana Cricket Stadium, Lucknow",Umpire_16,Umpire_8
34,2008,Jaipur,2008-05-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,Mumbai Indians,0,4,Player_161,"Feroz Shah Kotla, Delhi",Umpire_20,Umpire_13
35,2008,Jaipur,2008-03-18,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Gujarat Titans,0,1,Player_177,"Feroz Shah Kotla, Delhi",Umpire_26,Umpire_25
36,2008,Delhi,2008-04-03,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,Punjab Kings,95,0,Player_181,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_5,Umpire_21
37,2008,Chennai,2008-05-08,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,32,0,Player_39,"Ekana Cricket Stadium, Lucknow",Umpire_26,Umpire_2
38,2008,Hyderabad,2008-05-05,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,Sunrisers Hyderabad,47,0,Player_85,"M.A. Chidambaram Stadium, Chennai",Umpire_11,Umpire_19
39,2008,Mumbai,2008-05-28,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,normal,Royal Challengers Bangalore,0,6,Player_30,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_10,Umpire_19
40,2008,Delhi,2008-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,no result,,0,0,Player_126,"Eden Gardens, Kolkata",Umpire_15,Umpire_25
41,2008,Kolkata,2008-03-05,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,Player_92,"Ekana Cricket Stadium, Lucknow",Umpire_29,Umpire_22
42,2008,Ahmedabad,2008-04-15,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,normal,Royal Challengers Bangalore,0,9,Player_56,"Wankhede Stadium, Mumbai",Umpire_26,Umpire_4
43,2008,Chennai,2008-03-26,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,normal,Gujarat Titans,0,8,Player_14,"PCA Stadium, Chandigarh",Umpire_19,Umpire_7
44,2008,Lucknow,2008-05-25,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,normal,Mumbai Indians,28,0,Player_17,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_22,Umpire_26
45,2008,Chandigarh,2008-03-12,Punjab Kings,Rajasthan Royals,Punjab Kings,field,normal,Rajasthan Royals,8,0,Player_83,"Ekana Cricket Stadium, Lucknow",Umpire_9,Umpire_5
46,2008,Bangalore,2008-04-11,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,normal,Delhi Capitals,0,7,Player_190,"PCA Stadium, Chandigarh",Umpire_23,Umpire_9
47,2008,Mumbai,2008-04-24,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,6,Player_179,"Narendra Modi Stadium, Ahmedabad",Umpire_2,Umpire_15
48,2008,Jaipur,2008-03-11,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,normal,Sunrisers Hyderabad,14,0,Player_100,"Eden Gardens, Kolkata",Umpire_1,Umpire_6
49,2008,Chandigarh,2008-04-23,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Royal Challengers Bangalore,0,9,Player_163,"Wankhede Stadium, Mumbai",Umpire_5,Umpire_28
50,2008,Ahmedabad,2008-03-14,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,normal,Rajasthan Royals,72,0,Player_60,"Eden Gardens, Kolkata",Umpire_21,Umpire_5
51,2008,Kolkata,2008-03-06,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,normal,Punjab Kings,32,0,Player_97,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_15,Umpire_1
52,2008,Bangalore,2008-05-15,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,normal,Rajasthan Royals,42,0,Player_157,"Wankhede Stadium, Mumbai",Umpire_20,Umpire_7
53,2008,Jaipur,2008-04-13,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,0,1,Player_159,"M. Chinnaswamy Stadium, Bangalore",Umpire_13,Umpire_24
54,2008,Delhi,2008-05-10,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,normal,Chennai Super Kings,43,0,Player_104,"Sawai Mansingh Stadium, Jaipur",Umpire_6,Umpire_8
55,2008,Lucknow,2008-03-28,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,normal,Lucknow Super Giants,72,0,Player_31,"Ekana Cricket Stadium, Lucknow",Umpire_9,Umpire_22
56,2008,Jaipur,2008-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,63,0,Player_168,"Feroz Shah Kotla, Delhi",Umpire_15,Umpire_9
57,2008,Chennai,2008-05-02,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,normal,Royal Challengers Bangalore,7,0,Player_91,"Wankhede Stadium, Mumbai",Umpire_11,Umpire_27
58,2008,Mumbai,2008-05-17,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,normal,Lucknow Super Giants,0,5,Player_84,"Narendra Modi Stadium, Ahmedabad",Umpire_17,Umpire_20
59,2008,Mumbai,2008-03-29,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,Punjab Kings,62,0,Player_30,"PCA Stadium, Chandigarh",Umpire_19,Umpire_18
60,2008,Hyderabad,2008-05-10,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,normal,Delhi Capitals,0,7,Player_110,"M.A. Chidambaram Stadium, Chennai",Umpire_28,Umpire_1
61,2008,Kolkata,2008-03-28,Gujarat Titans,Punjab Kings,Punjab Kings,bat,normal,Punjab Kings,67,0,Player_8,"M.A. Chidambaram Stadium, Chennai",Umpire_3,Umpire_24
62,2009,Kolkata,2009-03-19,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,normal,Mumbai Indians,85,0,Player_36,"M.A. Chidambaram Stadium, Chennai",Umpire_2,Umpire_1
63,2009,Delhi,2009-05-20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,98,0,Player_86,"PCA Stadium, Chandigarh",Umpire_17,Umpire_10
64,2009,Bangalore,2009-04-26,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Delhi Capitals,0,6,Player_29,"M.A. Chidambaram Stadium, Chennai",Umpire_23,Umpire_5
65,2009,Delhi,2009-05-25,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,normal,Royal Challengers Bangalore,86,0,Player_31,"Sawai Mansingh Stadium, Jaipur",Umpire_27,Umpire_8
66,2009,Mumbai,2009-05-21,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Royal Challengers Bangalore,0,6,Player_36,"Eden Gardens, Kolkata",Umpire_26,Umpire_29
67,2009,Mumbai,2009-04-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,8,Player_148,"Eden Gardens, Kolkata",Umpire_3,Umpire_20
68,2009,Hyderabad,2009-05-03,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,Rajasthan Royals,25,0,Player_108,"Eden Gardens, Kolkata",Umpire_6,Umpire_2
69,2009,Kolkata,2009-05-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,normal,Rajasthan Royals,88,0,Player_81,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_5,Umpire_22
70,2009,Mumbai,2009-05-26,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,normal,Lucknow Super Giants,71,0,Player_86,"Ekana Cricket Stadium, Lucknow",Umpire_7,Umpire_14
71,2009,Mumbai,2009-04-24,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,normal,Rajasthan Royals,0,7,Player_108,"M.A. Chidambaram Stadium, Chennai",Umpire_3,Umpire_5
72,2009,Hyderabad,2009-05-10,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,Delhi Capitals,66,0,Player_34,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_13,Umpire_13
73,2009,Ahmedabad,2009-05-07,Punjab Kings,Delhi Capitals,Punjab Kings,bat,normal,Punjab Kings,10,0,Player_84,"Feroz Shah Kotla, Delhi",Umpire_1,Umpire_17
74,2009,Ahmedabad,2009-05-17,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,bat,no result,,0,0,Player_121,"PCA Stadium, Chandigarh",Umpire_4,Umpire_12
75,2009,Hyderabad,2009-05-08,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,normal,Mumbai Indians,25,0,Player_148,"Sawai Mansingh Stadium, Jaipur",Umpire_21,Umpire_19
76,2009,Kolkata,2009-04-17,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,9,Player_61,"Ekana Cricket Stadium, Lucknow",Umpire_3,Umpire_18
77,2009,Chandigarh,2009-05-27,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,field,normal,Rajasthan Royals,0,9,Player_29,"Narendra Modi Stadium, Ahmedabad",Umpire_3,Umpire_25
78,2009,Chennai,2009-04-05,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,Punjab Kings,90,0,Player_60,"Feroz Shah Kotla, Delhi",Umpire_13,Umpire_17
79,2009,Chandigarh,2009-05-16,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,6,Player_168,"Wankhede Stadium, Mumbai",Umpire_27,Umpire_27
80,2009,Lucknow,2009-05-21,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,normal,Rajasthan Royals,42,0,Player_158,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_18,Umpire_4
81,2009,Jaipur,2009-05-07,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,normal,Gujarat Titans,35,0,Player_74,"Narendra Modi Stadium, Ahmedabad",Umpire_2,Umpire_28
82,2009,Lucknow,2009-05-18,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,normal,Lucknow Super Giants,0,6,Player_50,"M. Chinnaswamy Stadium, Bangalore",Umpire_27,Umpire_3
83,2009,Ahmedabad,2009-05-15,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,bat,normal,Lucknow Super Giants,99,0,Player_119,"M. Chinnaswamy Stadium, Bangalore",Umpire_2,Umpire_15
84,2009,Delhi,2009-05-27,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,normal,Gujarat Titans,0,9,Player_1,"Ekana Cricket Stadium, Lucknow",Umpire_28,Umpire_6
85,2009,Chandigarh,2009-05-27,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,Rajasthan Royals,0,5,Player_174,"M.A. Chidambaram Stadium, Chennai",Umpire_20,Umpire_7
86,2009,Bangalore,2009-03-06,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,normal,Mumbai Indians,84,0,Player_176,"Narendra Modi Stadium, Ahmedabad",Umpire_28,Umpire_22
87,2009,Ahmedabad,2009-03-28,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Lucknow Super Giants,32,0,Player_102,"Narendra Modi Stadium, Ahmedabad",Umpire_8,Umpire_11
88,2009,Chandigarh,2009-04-28,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,normal,Gujarat Titans,74,0,Player_97,"M.A. Chidambaram Stadium, Chennai",Umpire_1,Umpire_1
89,2009,Chandigarh,2009-05-29,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,0,1,Player_195,"Sawai Mansingh Stadium, Jaipur",Umpire_9,Umpire_6
90,2009,Bangalore,2009-04-26,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,4,Player_22,"Ekana Cricket Stadium, Lucknow",Umpire_3,Umpire_9
91,2009,Hyderabad,2009-03-23,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,Gujarat Titans,93,0,Player_32,"Eden Gardens, Kolkata",Umpire_12,Umpire_18
92,2009,Hyderabad,2009-03-21,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,normal,Sunrisers Hyderabad,0,1,Player_159,"Ekana Cricket Stadium, Lucknow",Umpire_29,Umpire_24
93,2009,Chennai,2009-04-07,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,66,0,Player_170,"Eden Gardens, Kolkata",Umpire_19,Umpire_26
94,2009,Hyderabad,2009-03-05,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Lucknow Super Giants,0,2,Player_166,"Narendra Modi Stadium, Ahmedabad",Umpire_22,Umpire_28
95,2009,Chandigarh,2009-03-23,Rajasthan Royals,Gujarat Titans,Gujarat Titans,bat,normal,Gujarat Titans,0,8,Player_47,"Ekana Cricket Stadium, Lucknow",Umpire_3,Umpire_22
96,2009,Delhi,2009-03-17,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Chennai Super Kings,47,0,Player_120,"PCA Stadium, Chandigarh",Umpire_28,Umpire_15
97,2009,Delhi,2009-03-17,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Gujarat Titans,0,5,Player_179,"Ekana Cricket Stadium, Lucknow",Umpire_20,Umpire_21
98,2009,Jaipur,2009-05-13,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,23,0,Player_52,"M.A. Chidambaram Stadium, Chennai",Umpire_10,Umpire_28
99,2009,Lucknow,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Rajasthan Royals,90,0,Player_145,"Ekana Cricket Stadium, Lucknow",Umpire_8,Umpire_15
100,2009,Chennai,2009-04-06,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,Chennai Super Kings,90,0,Player_63,"Narendra Modi Stadium, Ahmedabad",Umpire_1,Umpire_9
101,2009,Ahmedabad,2009-05-19,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,normal,Rajasthan Royals,82,0,Player_109,"Wankhede Stadium, Mumbai",Umpire_24,Umpire_22
102,2009,Mumbai,2009-05-12,Punjab Kings,Rajasthan Royals,Punjab Kings,field,normal,Rajasthan Royals,96,0,Player_102,"Ekana Cricket Stadium, Lucknow",Umpire_11,Umpire_3
103,2009,Delhi,2009-05-12,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Sunrisers Hyderabad,0,2,Player_15,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_6,Umpire_14
104,2009,Chennai,2009-04-29,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,Player_196,"Feroz Shah Kotla, Delhi",Umpire_20,Umpire_14
105,2009,Hyderabad,2009-05-24,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,7,Player_170,"Ekana Cricket Stadium, Lucknow",Umpire_24,Umpire_4
106,2009,Ahmedabad,2009-04-09,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,normal,Chennai Super Kings,86,0,Player_15,"Ekana Cricket Stadium, Lucknow",Umpire_24,Umpire_26
107,2009,Bangalore,2009-04-01,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,Delhi Capitals,19,0,Player_183,"M.A. Chidambaram Stadium, Chennai",Umpire_5,Umpire_15
108,2009,Ahmedabad,2009-04-13,Punjab Kings,Gujarat Titans,Punjab Kings,field,normal,Gujarat Titans,10,0,Player_185,"Narendra Modi Stadium, Ahmedabad",Umpire_2,Umpire_3
109,2009,Lucknow,2009-05-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,normal,Rajasthan Royals,0,6,Player_36,"PCA Stadium, Chandigarh",Umpire_5,Umpire_1
110,2009,Chandigarh,2009-04-08,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Lucknow Super Giants,0,5,Player_50,"Eden Gardens, Kolkata",Umpire_22,Umpire_12
111,2009,Delhi,2009-03-29,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,normal,Gujarat Titans,0,4,Player_31,"Narendra Modi Stadium, Ahmedabad",Umpire_23,Umpire_16
112,2009,Bangalore,2009-03-25,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,normal,Rajasthan Royals,0,5,Player_30,"Feroz Shah Kotla, Delhi",Umpire_20,Umpire_6
113,2009,Ahmedabad,2009-03-02,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,Lucknow Super Giants,0,2,Player_193,"Eden Gardens, Kolkata",Umpire_20,Umpire_23
114,2009,Lucknow,2009-04-18,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,normal,Gujarat Titans,49,0,Player_173,"Eden Gardens, Kolkata",Umpire_24,Umpire_10
115,2009,Lucknow,2009-03-02,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Chennai Super Kings,82,0,Player_25,"Sawai Mansingh Stadium, Jaipur",Umpire_1,Umpire_4
116,2009,Ahmedabad,2009-05-04,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,Punjab Kings,0,4,Player_173,"M. Chinnaswamy Stadium, Bangalore",Umpire_18,Umpire_29
117,2009,Chandigarh,2009-05-09,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,normal,Gujarat Titans,31,0,Player_83,"Narendra Modi Stadium, Ahmedabad",Umpire_3,Umpire_21
118,2009,Jaipur,2009-05-18,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,0,4,Player_63,"Feroz Shah Kotla, Delhi",Umpire_20,Umpire_29
119,2009,Delhi,2009-04-23,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,normal,Punjab Kings,0,6,Player_58,"PCA Stadium, Chandigarh",Umpire_7,Umpire_5
120,2009,Bangalore,2009-05-21,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,0,5,Player_26,"M. Chinnaswamy Stadium, Bangalore",Umpire_2,Umpire_20
121,2009,Ahmedabad,2009-03-01,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,Player_130,"Wankhede Stadium, Mumbai",Umpire_10,Umpire_18
122,2009,Delhi,2009-03-23,Mumbai Indians,Gujarat Titans,Gujarat Titans,bat,normal,Gujarat Titans,0,3,Player_101,"PCA Stadium, Chandigarh",Umpire_13,Umpire_8
123,2009,Bangalore,2009-05-19,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,normal,Chennai Super Kings,0,4,Player_135,"Eden Gardens, Kolkata",Umpire_28,Umpire_19
124,2009,Ahmedabad,2009-04-15,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,25,0,Player_178,"Eden Gardens, Kolkata",Umpire_17,Umpire_4
125,2009,Lucknow,2009-05-17,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,normal,Royal Challengers Bangalore,0,2,Player_168,"M.A. Chidambaram Stadium, Chennai",Umpire_23,Umpire_9
126,2009,Chandigarh,2009-03-03,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Sunrisers Hyderabad,0,1,Player_122,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_7,Umpire_17
127,2009,Jaipur,2009-05-25,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,6,Player_22,"M.A. Chidambaram Stadium, Chennai",Umpire_2,Umpire_29
128,2009,Hyderabad,2009-03-07,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,normal,Lucknow Super Giants,0,3,Player_108,"Narendra Modi Stadium, Ahmedabad",Umpire_5,Umpire_15
